infotype,thumb,title,author,pubtime,description
特写,http://7te8bu.com1.z0.glb.clouddn.com/uploads/new/article/pic/201604/57233d4a56239.png?imageMogr2/thumbnail/!210x140r/gravity/Center/crop/210x140/quality/90,使用云存储服务时，如何避免踩坑？ | 硬创公开课,程|,1461928560,企业在选择云服务时有什么样的坑，使用云服务时需要了解些什么？
特写,http://7te8bu.com1.z0.glb.clouddn.com/uploads/new/article/pic/201604/5723296d0b72a.jpg?imageMogr2/thumbnail/!210x140r/gravity/Center/crop/210x140/quality/90,对标博世和雅马哈？轻客想做一家 e-Bike 系统开发商,郝晓茹,1461922200,对于年轻的轻客团队来说，要让人们觉得自家的车子和采用自家 e-Bike 系统的车子“贵得有道理”，还有很长的路要走。
国际,http://7te8bu.com1.z0.glb.clouddn.com/uploads/new/article/pic/201604/571e5c2b37cd8.jpg?imageMogr2/thumbnail/!210x140r/gravity/Center/crop/210x140/quality/90,微信老外PM揭秘：机器人与APP聊天界面中的误区,晓桦,1461629700,人们似乎对聊天应用流行的秘诀以及它们解决的最大问题都有着严重错误的认定。
特写,http://7te8bu.com1.z0.glb.clouddn.com/uploads/new/article/pic/201604/572299d3c5331.jpg?imageMogr2/thumbnail/!210x140r/gravity/Center/crop/210x140/quality/90,两轮电动汽车的“冒险”,易建成,1461899640,畅想一下，在未来几年，如果公路上跑起来的是两轮电动汽车，会是一番怎样的景象？
业界,http://7te8bu.com1.z0.glb.clouddn.com/uploads/new/article/pic/201604/571df44dd82d8.jpg?imageMogr2/thumbnail/!210x140r/gravity/Center/crop/210x140/quality/90,Amazon Echo 诞生过程中的 7 件秘事,郝晓茹,1461580860,彭博采访了 10 位参与该项目的亚马逊现任和前任员工，从他们的角度还原了打造这款产品的真实故事。
特写,http://7te8bu.com1.z0.glb.clouddn.com/uploads/new/article/pic/201604/5722447acedf9.jpg?imageMogr2/thumbnail/!210x140r/gravity/Center/crop/210x140/quality/90,和“HoloLens竞品”Meta的CTO聊了聊，我们知道这些,柏蓉,1461885180,昨日，HWTrek (Hardware Trek)在深圳举办了一场对接活动，为国外创业项目与国内供应链厂商找到有效的资源。实际上，这并非HWTrek的第一次活动
特写,http://7te8bu.com1.z0.glb.clouddn.com/uploads/new/article/pic/201604/57176269c977e.jpg?imageMogr2/thumbnail/!210x140r/gravity/Center/crop/210x140/quality/90,手握百万恶意IP，阿里云要跟黑客拼了 | 云栖大会,史中・方枪枪,1461149940,两年前，有关云服务的讨论是“可行或不可行”，但随着政府机构和老牌国企都已经在向云上迁移。讨论的重点已经转到“如何更好地在云上玩耍”了。既然要玩耍，就要注意安全。
特写,http://7te8bu.com1.z0.glb.clouddn.com/uploads/new/article/pic/201604/571ddd0d378ed.jpg?imageMogr2/thumbnail/!210x140r/gravity/Center/crop/210x140/quality/90,JavaScript 也可以搞定嵌入式开发？ | 硬创公开课,史中・方枪枪,1461576600,Ruff 可以允许开发者用普及的 JavaScript 语言进行嵌入式开发，他们究竟是怎么做到的呢？
国际,http://7te8bu.com1.z0.glb.clouddn.com/uploads/new/article/pic/201604/5721d0bfdbc55.jpg?imageMogr2/thumbnail/!210x140r/gravity/Center/crop/210x140/quality/90,白送的人工智能来了，走进马斯克的公益”恶魔“,逸炫,1461836820,将人工智能研究称为“召唤恶魔”的马斯克，竟自己干起了人工智能，今天他们发布了首批成功。
特写,http://7te8bu.com1.z0.glb.clouddn.com/uploads/new/article/pic/201604/571754a6e86ee.png?imageMogr2/thumbnail/!210x140r/gravity/Center/crop/210x140/quality/90,Magic Leap整个AR项目都可能是个骗局？听大牛怎么说  | 硬创公开课,宗仁,1461146760,这么“黑”的黑科技，会成为下一个Google Glass还是全新的AR涅者？
业界,http://7te8bu.com1.z0.glb.clouddn.com/uploads/new/article/pic/201604/571ce26ce52f4.png?imageMogr2/thumbnail/!210x140r/gravity/Center/crop/210x140/quality/90,北京车展上，你可能对这些汽车感兴趣,易建成,1461540600,一份观展指南。
特写,http://7te8bu.com1.z0.glb.clouddn.com/uploads/new/article/pic/201604/5721cf406f8c9.jpg?imageMogr2/thumbnail/!210x140r/gravity/Center/crop/210x140/quality/90,作为小米级别最高的设计师，刘德有一个困惑,六爷,1461833580,雷军：“ACCD（Art Center College of Design）建校80多年来只有20多位中国毕业生，刘德是其中之一。”
特写,http://7te8bu.com1.z0.glb.clouddn.com/uploads/new/article/pic/201604/571735bab49ae.png?imageMogr2/thumbnail/!210x140r/gravity/Center/crop/210x140/quality/90,一半下载，两倍收入，App Store是怎么做到的？,六爷,1461139560,Android开源，iOS封闭，这在一定程度上造成了一种现象：Android的用户越来越多，iOS赚的钱越来越多。
特写,http://7te8bu.com1.z0.glb.clouddn.com/uploads/new/article/pic/201604/5719fdff53131.png?imageMogr2/thumbnail/!210x140r/gravity/Center/crop/210x140/quality/90,机器视觉离消费市场有多远？,金红,1461381600,之所以有这种提问，是因为不少人对于机器视觉在消费级市场能有多大实质性地应用存在深深地担忧。
国际,http://7te8bu.com1.z0.glb.clouddn.com/uploads/new/article/pic/201604/57209678a613c.jpg?imageMogr2/thumbnail/!210x140r/gravity/Center/crop/210x140/quality/90,黑灯工厂传说：中国制造业的自动化变革 | 深度,逸炫,1461818340,机器人技术创新和自动化变革，是否会为中国制造业和全球经济带来新的明天？
特写,http://7te8bu.com1.z0.glb.clouddn.com/uploads/new/article/pic/201604/5720df875de79.jpg?imageMogr2/thumbnail/!210x140r/gravity/Center/crop/210x140/quality/90,钉钉、企业微信用起来有什么不同？我们完整地体验了它俩,訾竣,1461801300,钉钉、企业微信，到底该选谁？
国际,http://7te8bu.com1.z0.glb.clouddn.com/uploads/new/article/pic/201604/5716fae8edddc.jpg?imageMogr2/thumbnail/!210x140r/gravity/Center/crop/210x140/quality/90,硬件创客新玩具：五号电池大小的Arduino,逸炫,1461133200,随性的酷炫感，前所未见。
特写,http://7te8bu.com1.z0.glb.clouddn.com/uploads/new/article/pic/201604/5716efd7ab166.jpg?imageMogr2/thumbnail/!210x140r/gravity/Center/crop/210x140/quality/90,移动VR是芯片厂的游戏？,刘方平,1461121620,用了某家大厂的芯片并不是什么核心竞争力，指望芯片厂来解决全部也不现实，关键还是要有自己的优化能力和软硬件结合能力。
国际,http://7te8bu.com1.z0.glb.clouddn.com/uploads/new/article/pic/201604/571a1109a680e.jpg?imageMogr2/thumbnail/!210x140r/gravity/Center/crop/210x140/quality/90,Magic Leap专利揭秘：微型投影仪是终极杀器,晓桦,1461325620,它包括“通过一个变量集中元素修改虚拟图像的焦点”、“通过微型投影器仪或者虚拟现实将图像投影到波导管”、“通过反射镜提供深度可变平面”……
特写,http://7te8bu.com1.z0.glb.clouddn.com/uploads/new/article/pic/201604/571a052215ef8.jpg?imageMogr2/thumbnail/!210x140r/gravity/Center/crop/210x140/quality/90,“全资收购酷派”，乐视到底图什么？,六爷,1461322980,近日，一则消息在业内传开――乐视将全资收购酷派。对此，当事人双方不置一评，旁观者们却深以为然。原因很简单，这事看上去挺合理的。
特写,http://7te8bu.com1.z0.glb.clouddn.com/uploads/new/article/pic/201604/5720be4b437e0.jpg?imageMogr2/thumbnail/!210x140r/gravity/Center/crop/210x140/quality/90,如何拍摄一部高质量VR影片？| 硬创公开课,刘方平,1461763860,VR电影作为一种全新的电影表现形式，无论是对电影从业者还是消费者都是陌生的，因而仍需要通过不断地探索才能知道什么才是合适的制作方法。
业界,http://7te8bu.com1.z0.glb.clouddn.com/uploads/new/article/pic/201604/5720b9c5c5522.jpg?imageMogr2/thumbnail/!210x140r/gravity/Center/crop/210x140/quality/90,【盘点】5款曾爆红的无人机，一个比一个会拍宣传片,硬创观察,1461763260,对飞行的敬畏，依然深藏在我们脑中的某个地方，完全抵挡不了酷酷的飞行器宣传片所带来的诱惑。
特写,http://7te8bu.com1.z0.glb.clouddn.com/uploads/new/article/pic/201604/5716044a27b8f.png?imageMogr2/thumbnail/!210x140r/gravity/Center/crop/210x140/quality/90,卖1400元的女性震动棒，真有传说中那么神？,奕欣,1461074520,“价格值不值，市场和用户会告诉他们。”
国际,http://7te8bu.com1.z0.glb.clouddn.com/uploads/new/article/pic/201604/5715fcf310830.jpg?imageMogr2/thumbnail/!210x140r/gravity/Center/crop/210x140/quality/90,自动驾驶变革迅猛 政府应如何做出决策？,熊蒙,1461073680,自动驾驶时代近在咫尺，而在进入之前，除了各大厂商的努力。还需要些什么呢？
特写,http://7te8bu.com1.z0.glb.clouddn.com/uploads/new/article/pic/201604/5719eda4cc0d0.jpg?imageMogr2/thumbnail/!210x140r/gravity/Center/crop/210x140/quality/90,ADAS高壁垒、长周期，本土公司该如何崛起？| 硬创公开课,易建成,1461320100,ADAS的研发有哪些难点？ADAS有着怎样的发展趋势和未来？我们本土的ADAS如何突破崛起？
国际,http://7te8bu.com1.z0.glb.clouddn.com/uploads/new/article/pic/201604/5719c1d08f2a3.jpg?imageMogr2/thumbnail/!210x140r/gravity/Center/crop/210x140/quality/90,空气充电：硬币大小、无需电源的计算机,逸炫,1461318660,从可穿戴设备、农业植物监测到未来建筑设计，一切都可能改变。
业界,http://7te8bu.com1.z0.glb.clouddn.com/uploads/new/article/pic/201604/57203df393dee.jpg?imageMogr2/thumbnail/!210x140r/gravity/Center/crop/210x140/quality/90,开发布会了，但HTC Vive的中国战略是什么？,柏蓉,1461730800,作为世界以及我国体验最好的VR头盔，HTC今日又在北京举办一场活动，名为“HTC Vive中国战略暨VR生态圈大会”。
特写,http://7te8bu.com1.z0.glb.clouddn.com/uploads/new/article/pic/201604/57201f9874519.jpg?imageMogr2/thumbnail/!210x140r/gravity/Center/crop/210x140/quality/90,面对4300万企业，2016年的阿里钉钉是怎么考虑企业协同市场的？,吴德新,1461718140,2016年是打仗的年份，此时的团队是怎么思考钉钉，阿里又是怎样考量钉钉，都至关重要。
业界,http://7te8bu.com1.z0.glb.clouddn.com/uploads/new/article/pic/201604/5715fe3699b5a.jpg?imageMogr2/thumbnail/!210x140r/gravity/Center/crop/210x140/quality/90,霍金让你们警惕的AI军备竞赛，巨头们已经玩开了,逸炫,1461061740,过去3年超过20家AI公司被巨头们收入囊中。仅仅是今年，已经有四次大收购。
专栏,http://7te8bu.com1.z0.glb.clouddn.com/uploads/new/article/pic/201604/5715f7ac69f7f.jpg?imageMogr2/thumbnail/!210x140r/gravity/Center/crop/210x140/quality/90,哪些法律在阻碍中国的创新？,张明若,1461058560,著名个人投资律师张明若谈哪些法律在阻碍中国的创新？
特写,http://7te8bu.com1.z0.glb.clouddn.com/uploads/new/article/pic/201604/5718b5265bf02.jpg?imageMogr2/thumbnail/!210x140r/gravity/Center/crop/210x140/quality/90,VR一体机这么快就要打价格战了？,柏蓉,1461240360,“买个方案换个壳，不管是VCD、DVD、MP3、MP4、手环、手表还是VR一体机，深圳制造业的主旋律没变过。”
国际,http://7te8bu.com1.z0.glb.clouddn.com/uploads/new/article/pic/201604/57188194c3e50.jpg?imageMogr2/thumbnail/!210x140r/gravity/Center/crop/210x140/quality/90,Facebook机器人负责人David Marcus专访：做大众喜爱的机器人注定是一条颠簸之路,逸炫,1461225540,用聊天文本框看新闻、看天气和剁手血拼，能否走出技术宅的圈子，飞入寻常百姓家？
特写,http://7te8bu.com1.z0.glb.clouddn.com/uploads/new/article/pic/201604/571f6ad33c12f.jpg?imageMogr2/thumbnail/!210x140r/gravity/Center/crop/210x140/quality/90,彭锦洲：汪峰不是在玩票，Fiil耳机会卖得很好,六爷,1461678000,彭锦洲最近有两个不大不小的困扰：业内对Fiil的期望太高，外界对fiil又知道的太少。
特写,http://7te8bu.com1.z0.glb.clouddn.com/uploads/new/article/pic/201604/571f38286f211.png?imageMogr2/thumbnail/!210x140r/gravity/Center/crop/210x140/quality/90,被吹上天的智能止鼾仪，神乎其神还是良莠不齐？（上）,奕欣,1461662760,目前市面上的智能止鼾仪品种颇多，然而被吹得神乎其神的它们，是否真的能解决用户鼾声如雷的问题？
业界,http://7te8bu.com1.z0.glb.clouddn.com/uploads/new/article/pic/201604/5715ae01d300e.jpg?imageMogr2/thumbnail/!210x140r/gravity/Center/crop/210x140/quality/90,漏洞收集哪家强？FBI 不输任何地下军火商！,史中・方枪枪,1461037740,FBI 你说！你究竟还藏了多少漏洞？
专栏,http://7te8bu.com1.z0.glb.clouddn.com/uploads/new/article/pic/201604/57157e2fd63f4.png?imageMogr2/thumbnail/!210x140r/gravity/Center/crop/210x140/quality/90,微信也做企业版了：做企业产品与个人产品有什么不同？,人人都是产品经理,1461029340,个人用户产品可以以孤岛的形式存在，而在企业服务领域，单点突破对于创业公司来说是一种思路，但在面向客户的推广过程中遇到的问题是致命的。
特写,http://7te8bu.com1.z0.glb.clouddn.com/uploads/new/article/pic/201604/5718334001a85.jpg?imageMogr2/thumbnail/!210x140r/gravity/Center/crop/210x140/quality/90,被热捧的双摄，是不是手机厂商的救命稻草？,吴德新,1461211920,“尽管今年80%的手机厂商都会推出至少一款双摄机型，但'完美双摄’还远没有到来。”
特写,http://7te8bu.com1.z0.glb.clouddn.com/uploads/new/article/pic/201604/57180ff004214.jpg?imageMogr2/thumbnail/!210x140r/gravity/Center/crop/210x140/quality/90,乐视想“认真”造车,易建成,1461196260,当丁磊驾驶着这辆车从现场的集装箱里徐徐驶出来的时候，贾跃亭哽咽了。
特写,http://7te8bu.com1.z0.glb.clouddn.com/uploads/new/article/pic/201604/571ea6dabd6c0.jpg?imageMogr2/thumbnail/!210x140r/gravity/Center/crop/210x140/quality/90,在北京车展寻找“特斯拉”们,易建成,1461630600,身处在其中的汽车从业者尤其是近两年新兴汽车创业公司，对这个行业充满了信心。
特写,http://7te8bu.com1.z0.glb.clouddn.com/uploads/new/article/pic/201604/5714b4bf47e8f.jpg?imageMogr2/thumbnail/!210x140r/gravity/Center/crop/210x140/quality/90,该考虑AR/VR安全问题了，还没量产的Magic Leap都已经行动,柏蓉,1460992740,想要弄清楚Magic Leap为什么要收购首先弄清楚NorthBit是一家做什么的公司。
特写,http://7te8bu.com1.z0.glb.clouddn.com/uploads/new/article/pic/201604/5714a2db9d1b8.jpg?imageMogr2/thumbnail/!210x140r/gravity/Center/crop/210x140/quality/90,黑客究竟用什么姿势偷走了你的钱？ | 硬创公开课,史中・方枪枪,1460974440,消费型App、二维码支付、手机POS机、指纹支付都存在被攻击的可能，黑客究竟用什么姿势偷走了你的钱呢？
特写,http://7te8bu.com1.z0.glb.clouddn.com/uploads/new/article/pic/201604/57177fc2f2b1d.jpg?imageMogr2/thumbnail/!210x140r/gravity/Center/crop/210x140/quality/90,复盘Edison：Intel寻找生态打法中的教训,吴德新,1461159480,一个与创客运动火热形成鲜明对比的事实是：过去两年基于Edison，几乎没有孵化出成功的商业化产品，包括那些备受推崇的标杆项目。
国际,http://7te8bu.com1.z0.glb.clouddn.com/uploads/new/article/pic/201604/571754164ce24.png?imageMogr2/thumbnail/!210x140r/gravity/Center/crop/210x140/quality/90,重要的问题问5遍，Magic Leap到底是什么鬼？,洁颖,1461152580,关于Magic Leap的十万个为什么。
国际,http://7te8bu.com1.z0.glb.clouddn.com/uploads/new/article/pic/201604/5714a2c1bfa17.jpg?imageMogr2/thumbnail/!210x140r/gravity/Center/crop/210x140/quality/90,Comma.AI无人车幕后的人工智能算法：凭什么它能叫板特斯拉？,逸炫,1460970780,奇点大学创始教师之一、无人车专家Brad Templeton为你解读。
业界,http://7te8bu.com1.z0.glb.clouddn.com/uploads/new/article/pic/201604/57148cf8b0735.jpg?imageMogr2/thumbnail/!210x140r/gravity/Center/crop/210x140/quality/90,历史总是惊人地相似：英情报机构为迫害“AI之父”图灵道歉,晓桦,1460965200,王小波说：“知识分子最怕碰到不理性的年代。”每个民族的历史总会有奇异甚至诡异变态的阶段，历史总是惊人地相似。
国际,http://7te8bu.com1.z0.glb.clouddn.com/uploads/new/article/pic/201604/571e5c2b37cd8.jpg?imageMogr2/thumbnail/!210x140r/gravity/Center/crop/210x140/quality/90,微信老外PM揭秘：机器人与APP聊天界面中的误区,晓桦,1461629700,人们似乎对聊天应用流行的秘诀以及它们解决的最大问题都有着严重错误的认定。
业界,http://7te8bu.com1.z0.glb.clouddn.com/uploads/new/article/pic/201604/571df44dd82d8.jpg?imageMogr2/thumbnail/!210x140r/gravity/Center/crop/210x140/quality/90,Amazon Echo 诞生过程中的 7 件秘事,郝晓茹,1461580860,彭博采访了 10 位参与该项目的亚马逊现任和前任员工，从他们的角度还原了打造这款产品的真实故事。
特写,http://7te8bu.com1.z0.glb.clouddn.com/uploads/new/article/pic/201604/57176269c977e.jpg?imageMogr2/thumbnail/!210x140r/gravity/Center/crop/210x140/quality/90,手握百万恶意IP，阿里云要跟黑客拼了 | 云栖大会,史中・方枪枪,1461149940,两年前，有关云服务的讨论是“可行或不可行”，但随着政府机构和老牌国企都已经在向云上迁移。讨论的重点已经转到“如何更好地在云上玩耍”了。既然要玩耍，就要注意安全。
特写,http://7te8bu.com1.z0.glb.clouddn.com/uploads/new/article/pic/201604/571ddd0d378ed.jpg?imageMogr2/thumbnail/!210x140r/gravity/Center/crop/210x140/quality/90,JavaScript 也可以搞定嵌入式开发？ | 硬创公开课,史中・方枪枪,1461576600,Ruff 可以允许开发者用普及的 JavaScript 语言进行嵌入式开发，他们究竟是怎么做到的呢？
业界,http://7te8bu.com1.z0.glb.clouddn.com/uploads/new/article/pic/201604/571ce26ce52f4.png?imageMogr2/thumbnail/!210x140r/gravity/Center/crop/210x140/quality/90,北京车展上，你可能对这些汽车感兴趣,易建成,1461540600,一份观展指南。
特写,http://7te8bu.com1.z0.glb.clouddn.com/uploads/new/article/pic/201604/571754a6e86ee.png?imageMogr2/thumbnail/!210x140r/gravity/Center/crop/210x140/quality/90,Magic Leap整个AR项目都可能是个骗局？听大牛怎么说  | 硬创公开课,宗仁,1461146760,这么“黑”的黑科技，会成为下一个Google Glass还是全新的AR涅者？
特写,http://7te8bu.com1.z0.glb.clouddn.com/uploads/new/article/pic/201604/571735bab49ae.png?imageMogr2/thumbnail/!210x140r/gravity/Center/crop/210x140/quality/90,一半下载，两倍收入，App Store是怎么做到的？,六爷,1461139560,Android开源，iOS封闭，这在一定程度上造成了一种现象：Android的用户越来越多，iOS赚的钱越来越多。
特写,http://7te8bu.com1.z0.glb.clouddn.com/uploads/new/article/pic/201604/5719fdff53131.png?imageMogr2/thumbnail/!210x140r/gravity/Center/crop/210x140/quality/90,机器视觉离消费市场有多远？,金红,1461381600,之所以有这种提问，是因为不少人对于机器视觉在消费级市场能有多大实质性地应用存在深深地担忧。
国际,http://7te8bu.com1.z0.glb.clouddn.com/uploads/new/article/pic/201604/571a1109a680e.jpg?imageMogr2/thumbnail/!210x140r/gravity/Center/crop/210x140/quality/90,Magic Leap专利揭秘：微型投影仪是终极杀器,晓桦,1461325620,它包括“通过一个变量集中元素修改虚拟图像的焦点”、“通过微型投影器仪或者虚拟现实将图像投影到波导管”、“通过反射镜提供深度可变平面”……
国际,http://7te8bu.com1.z0.glb.clouddn.com/uploads/new/article/pic/201604/5716fae8edddc.jpg?imageMogr2/thumbnail/!210x140r/gravity/Center/crop/210x140/quality/90,硬件创客新玩具：五号电池大小的Arduino,逸炫,1461133200,随性的酷炫感，前所未见。
特写,http://7te8bu.com1.z0.glb.clouddn.com/uploads/new/article/pic/201604/5716efd7ab166.jpg?imageMogr2/thumbnail/!210x140r/gravity/Center/crop/210x140/quality/90,移动VR是芯片厂的游戏？,刘方平,1461121620,用了某家大厂的芯片并不是什么核心竞争力，指望芯片厂来解决全部也不现实，关键还是要有自己的优化能力和软硬件结合能力。
